Assigned to,animation_url,image,Moto Name,Top Chassis,Side Cart,Pattern,Color,Number Plate,Top Chassis is Correct?,Side Cart in Metadata is Correct?,Pattern # is Correct?,Color # is Correct?,Number Plate is Correct?,Any Other Animation Issues?,Any Other Image Issues?
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_TMRBS9SWA30NL.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_TMRBS9SWA30NL.jpeg,Moto,Exotic,None,Pattern 5,Color 1,WW-292,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_BQ46QA25YCTQL.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_BQ46QA25YCTQL.jpeg,Moto,Exotic,None,Pattern 9,Color 2,WW-293,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_AFFAIZ4T7DZZS.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_AFFAIZ4T7DZZS.jpeg,Moto,Exotic,None,Pattern 0,Color 0,WW-294,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_2QQJUN5XPR2OS.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_2QQJUN5XPR2OS.jpeg,Moto,Exotic,None,Pattern 0,Color 2,WW-295,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_JZQ37MZKAOI15.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_JZQ37MZKAOI15.jpeg,Moto,Exotic,None,Pattern 6,Color 1,WW-296,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_BCR8PR6A6M3BJ.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_BCR8PR6A6M3BJ.jpeg,Moto,Exotic,None,Pattern 2,Color 0,WW-297,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_7M97LO6ULDSVF.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_7M97LO6ULDSVF.jpeg,Moto,Exotic,None,Pattern 3,Color 2,WW-298,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_N6GT4DHZROH5H.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_N6GT4DHZROH5H.jpeg,Moto,Exotic,None,Pattern 4,Color 2,WW-299,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_7G95ZDB6ZP359.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_7G95ZDB6ZP359.jpeg,Moto,Exotic,None,Pattern 4,Color 0,WW-300,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_UIZT0I3L71EHT.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_UIZT0I3L71EHT.jpeg,Moto,Hover,Side Cart,Pattern 11,Color 10,WW-301,,,,,,,
Baus,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_RZ29BL791P5I9.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_RZ29BL791P5I9.jpeg,Moto,Wheeled,None,Pattern 1,Color 0,WW-501,,,,,,,
Baus,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_1GAUXXH6KZR4Y.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_1GAUXXH6KZR4Y.jpeg,Moto,Wheeled,None,Pattern 1,Color 0,WW-502,,,,,,,
Baus,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_RJF1ZJQBJ60OS.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_RJF1ZJQBJ60OS.jpeg,Moto,Wheeled,None,Pattern 4,Color 0,WW-503,,,,,,,
Baus,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_79RFQST5QM37N.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_79RFQST5QM37N.jpeg,Moto,Wheeled,None,Pattern 3,Color 5,WW-504,,,,,,,
Baus,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_O6U62OUTJNAGD.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_O6U62OUTJNAGD.jpeg,Moto,Wheeled,None,Pattern 4,Color 0,WW-505,,,,,,,
