wallet,mint
0x72c6C6310535EdBD273957D476c4c4f721b9226A,3
0x73072bE2141CAE0cD6632c02ad1A48E55E632429,3
0x73206a2Ee45652C6607C181FFE2DdA9004326FFb,4
0x733062d870c8Bf314b8eEaB6E7908Bc88523a319,3
0x73520783C20121Fe8BBEb9cEa296B1A8B6ea37ca,1
0x7385487FE29e074cfc5E9997D807B6d808B754E2,4
0x73865aB70431b874619AB8Fe36bb2c292A643B2f,3
0x73A156634Be6d89e9F971a1a49d13Bb8cFDA01a5,3
0x73Bb55ce93A7872269B4dC27027883b3FCdF4B50,3
0x742f60A00fCA56678A7A9b21A5927DBCcE48f80B,3
0x7447E716cC7CB343C6A86249219d11058DE71a13,4
0x754bf9eBD66Da72169b5B0ad0dbf67a0a17e1079,3
0x755B397A74AE496A96D574c8F0d830dd715f1773,3
0x755E4F986436E2a5e5A47854aa2A1B36d270AC3F,3
0x75c693Cc2c53c13fCBf86e3371302ee34Fc7aAf4,4
0x763bCc6cd772291F98c8034Ce4c46D021d4eF0A2,3
0x778c4938d2fdacD4679aa3c7029fCae60599248C,3
0x778E6c8ff9C1E46D46B0BFaaAB0DF0137d24e9de,3
