Assigned to,animation_url,image,Moto Name,Top Chassis,Side Cart,Pattern,Color,Number Plate,Top Chassis is Correct?,Side Cart in Metadata is Correct?,Pattern # is Correct?,Color # is Correct?,Number Plate is Correct?,Any Other Animation Issues?,Any Other Image Issues?
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_11DIN2AI2Z56A.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_11DIN2AI2Z56A.jpeg,Moto,Wheeled,None,Pattern 4,Color 4,WW-712,Yes,Yes,Yes,Yes,Yes,No,The windshield is blurry. May be a desired visual affect.
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_2W6PNX8ZHS0JX.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_2W6PNX8ZHS0JX.jpeg,Moto,Wheeled,None,Pattern 1,Color 1,WW-713,Yes,Yes,Yes,Yes,Yes,No,The windshield is blurry. May be a desired visual affect.
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_5DM4CD88WA61D.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_5DM4CD88WA61D.jpeg,Moto,Wheeled,None,Pattern 1,Color 2,WW-714,Yes,Yes,Yes,Yes,Yes,No,The windshield is blurry. May be a desired visual affect.
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_0I8GSXYLG85BQ.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_0I8GSXYLG85BQ.jpeg,Moto,Wheeled,None,Pattern 0,Color 1,WW-715,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_UEWMBRTPR4CQY.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_UEWMBRTPR4CQY.jpeg,Moto,Wheeled,None,Pattern 1,Color 0,WW-716,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_T4RE5BLQ5JKQL.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_T4RE5BLQ5JKQL.jpeg,Moto,Wheeled,Side Cart,Pattern 3,Color 0,WW-717,Yes,Yes,Yes,Yes,Yes,No,The windshield is blurry. May be a desired visual affect.
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_HPGY265LBBG52.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_HPGY265LBBG52.jpeg,Moto,Wheeled,None,Pattern 7,Color 3,WW-718,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_4BFMXZA7A0BEB.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_4BFMXZA7A0BEB.jpeg,Moto,Wheeled,None,Pattern 7,Color 2,WW-719,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_OXN48KJD2LNC1.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_OXN48KJD2LNC1.jpeg,Moto,Wheeled,None,Pattern 7,Color 11,WW-720,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_NC0ZR6VNH7G6M.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_NC0ZR6VNH7G6M.jpeg,Moto,Wheeled,None,Pattern 2,Color 4,WW-721,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_GR83UBPG506V7.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_GR83UBPG506V7.jpeg,Moto,Wheeled,None,Pattern 0,Color 1,WW-722,,,,,,,
